tconst	averageRating	numVotes
tt0000893	6.4	47
tt0000895	5.4	233
tt0000897	5.3	83
tt0000898	6.1	28
tt0000900	5.2	25
tt0000901	5.8	26
tt0000902	5.8	18
tt0000903	7.0	23
tt0000904	5.3	128
tt0000905	6.2	25
tt0000907	7.2	24
tt0000908	6.7	33
tt0000910	5.7	28
tt0000911	3.6	27
tt0000912	4.4	77
tt0000916	6.0	73
tt0000919	4.8	25
tt0000920	5.8	25
tt0000921	6.0	27
tt0000922	4.9	132
tt0000924	6.0	220
tt0000928	5.3	111
tt0000929	5.3	50
tt0000930	4.6	15
tt0000932	3.2	11
tt0000933	5.1	113
tt0000934	4.7	22
tt0000935	5.8	124
tt0000936	6.1	139
tt0000938	4.6	211
tt0000939	5.8	21
tt0000941	4.4	32
tt0000942	6.2	1199
tt0000943	6.0	15
tt0000944	3.8	12
tt0000945	4.9	100
tt0000946	4.7	96
tt0000950	4.6	18
tt0000956	6.4	18
tt0000957	6.2	53
tt0000958	6.4	18
tt0000960	4.6	327
tt0000961	8.8	23
tt0000962	6.0	16
tt0000964	5.8	18
tt0000966	5.6	390
tt0000967	6.0	19
tt0000969	6.6	26
tt0000970	5.7	89
tt0000971	6.2	199
tt0000972	5.7	122
tt0000974	5.2	75
tt0000975	5.2	26
tt0000976	4.3	20
tt0000979	5.1	42
tt0000981	5.6	75
tt0000986	5.1	130
tt0000987	7.8	11
tt0000988	4.7	29
tt0000989	4.8	64
tt0000990	5.7	107
tt0000991	6.6	19
tt0000992	4.4	16
tt0000995	7.7	19
tt0000997	7.2	18
tt0000998	5.5	20
tt0001000	5.5	68
tt0001001	5.1	157
tt0001002	4.8	113
tt0001005	5.7	30
tt0001008	5.5	34
tt0001009	6.4	1085
tt0001010	3.7	18
tt0001013	5.8	442
tt0001014	4.8	136
tt0001015	5.2	28
tt0001016	5.1	175
tt0001020	5.8	15
tt0001025	8.7	18
tt0001027	6.7	18
tt0001028	3.5	25
tt0001029	5.1	65
tt0001032	5.9	1021
tt0001033	5.1	23
tt0001035	5.1	45
tt0001036	2.6	14
tt0001037	3.4	19
tt0001038	2.9	24
tt0001041	5.2	58
tt0001044	5.1	128
tt0001045	5.6	16
tt0001049	4.5	22
tt0001050	4.9	95
tt0001052	6.4	18
tt0001053	7.0	17
tt0001054	5.7	44
tt0001058	5.6	30
tt0001061	6.6	94
tt0001062	6.2	1348
tt0001063	6.5	18
tt0001064	5.1	52
tt0001065	5.8	18
tt0001066	4.9	26
tt0001067	5.7	77
tt0001071	7.3	16
tt0001072	5.6	441
tt0001074	6.4	22
tt0001075	6.0	18
tt0001076	5.8	27
tt0001077	6.6	16
tt0001078	5.4	72
tt0001079	5.4	18
tt0001083	4.9	166
tt0001084	5.2	198
tt0001085	6.2	18
tt0001086	7.0	18
tt0001088	5.0	86
tt0001089	8.3	41
tt0001090	7.8	17
tt0001091	5.3	237
tt0001092	5.9	67
tt0001094	5.4	18
tt0001095	4.0	18
tt0001098	6.6	20
tt0001099	6.6	18
tt0001101	4.5	42
tt0001103	5.7	69
tt0001104	5.2	61
tt0001105	6.4	1097
tt0001106	5.9	201
tt0001107	6.0	121
tt0001111	4.2	21
tt0001112	3.8	57
tt0001113	4.4	20
tt0001115	3.8	24
tt0001116	3.9	21
tt0001117	5.9	18
tt0001118	5.4	228
tt0001120	5.5	268
tt0001121	4.7	58
tt0001122	4.4	22
tt0001129	5.1	72
tt0001135	4.8	61
tt0001139	5.4	44
tt0001143	5.2	62
tt0001144	5.3	54
tt0001145	5.8	12
tt0001150	5.2	142
tt0001151	4.3	61
tt0001152	5.6	89
tt0001153	4.6	58
tt0001156	5.0	57
tt0001159	5.2	32
tt0001161	5.1	59
tt0001165	5.0	41
tt0001175	5.4	47
tt0001176	5.2	41
tt0001177	6.2	23
tt0001184	3.2	23
tt0001185	7.1	23
tt0001186	5.2	73
tt0001187	5.4	42
tt0001190	6.6	15
tt0001195	5.0	22
tt0001196	4.4	14
